Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
18.70.28,True,False,True,465937,305,Medieval Art,1918,Sculpture,Lectern for the Reading of the Gospels with the Eagle of Saint John the Evangelist,Italian,,,,,16380,Artist, ,Giovanni Pisano,"Italian, Pisa ca. 1240–1319 Siena", ,"Pisano, Giovanni",Italian,1240      ,1319      ,,http://vocab.getty.edu/page/ulan/500017740,https://www.wikidata.org/wiki/Q314932,"ca. 1301, with later additions",1301,1301,Marble,Overall: 27 3/4 x 24 3/16 x 16in. (70.5 x 61.5 x 40.6cm),"Rogers Fund, 1918",Made in,Pistoia,,Tuscany,Italy,,,,,,,Sculpture-Stone,,http://www.metmuseum.org/art/collection/search/465937,https://www.wikidata.org/wiki/Q29385389,,"Metropolitan Museum of Art, New York, NY",Eagles|Saint John the Evangelist,http://vocab.getty.edu/page/aat/300250049|http://vocab.getty.edu/page/ia/901001171,https://www.wikidata.org/wiki/Q2092297|https://www.wikidata.org/wiki/Q328804
1978.412.323,True,True,True,318622,136,"Arts of Africa, Oceania, and the Americas",1978,Pendant mask,Queen Mother Pendant Mask: Iyoba,Edo,,,,,21914,Artist, ,Edo artist, , ,Edo artist, ,          ,          ,,,,16th century,1500,1600,"Ivory, iron, copper (?)",H. 9 3/8 x W. 5 x D. 2 1/2 in. (23.8 x 12.7 x 6.4 cm),"The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1972",,,,,Nigeria,"Igun-Eronmwen guild, Court of Benin",,,,,,Bone/Ivory-Sculpture,,http://www.metmuseum.org/art/collection/search/318622,https://www.wikidata.org/wiki/Q56379611,,"Metropolitan Museum of Art, New York, NY",Portraits|Women,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q467
89.4.1236,True,False,True,501802,681,Musical Instruments,1889,O-daiko,O-daiko,Japanese,,,,,15572,Maker,Attributed to,Kodenji Hayashi,"Japanese, Nagoya 1831–1915", ,Hayashi Kodenji,Japanese,1831      ,1915      ,,,,ca. 1873,1873,1873,"Wood, metal, cloisonné, hide, silk, padding",Total H. 62 3/16 × Drum diam 22 in. (158 × 55.9 cm),"The Crosby Brown Collection of Musical Instruments, 1889",,Tohshima,,Aichi Prefecture,Japan,,,,,,,Membranophone-double-headed / barrel drum,,http://www.metmuseum.org/art/collection/search/501802,https://www.wikidata.org/wiki/Q29385575,,"Metropolitan Museum of Art, New York, NY",Cranes|Fishing|Fish|Dragons|Roosters,http://vocab.getty.edu/page/aat/300254555|http://vocab.getty.edu/page/aat/300239470|http://vocab.getty.edu/page/aat/300266085|http://vocab.getty.edu/page/aat/300375726|http://vocab.getty.edu/page/aat/300380127,https://www.wikidata.org/wiki/Q25365|https://www.wikidata.org/wiki/Q14373|https://www.wikidata.org/wiki/Q152|https://www.wikidata.org/wiki/Q7559|https://www.wikidata.org/wiki/Q2216236
1990.332,True,True,True,316393,136,"Arts of Africa, Oceania, and the Americas",1990,Plaque,Plaque: Warrior and Attendants,Edo,,,,,21914,Artist, ,Edo artist, , ,Edo artist, ,          ,          ,,,,16th–17th century,1500,1700,Brass,H. 18 3/4 × W. 15 × D. 4 1/4 in. (47.6 × 38.1 × 10.8 cm),"Gift of Mr. and Mrs. Klaus G. Perls, 1990",,,,,Nigeria,"Igun-Eronmwen guild, Court of Benin",,,,,,Metal-Sculpture,,http://www.metmuseum.org/art/collection/search/316393,https://www.wikidata.org/wiki/Q29384362,,"Metropolitan Museum of Art, New York, NY",Shields|Warriors|Spears|Men,http://vocab.getty.edu/page/aat/300036869|http://vocab.getty.edu/page/aat/300261945|http://vocab.getty.edu/page/aat/300037038|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q131559|https://www.wikidata.org/wiki/Q1250916|https://www.wikidata.org/wiki/Q44475|https://www.wikidata.org/wiki/Q8441
89.4.2929a–e,True,True,True,502377,681,Musical Instruments,1889,Harpsichord,Harpsichord,Italian (Roman),,,,,15518717690117690,Designer|Artist|Artist, | | ,Michele Todini|Basilio Onofri|Jacob Reiff,"Italian, Saluzzo, Piedmont, bapt. 1616–1690, Rome|Italian, Rome active second half 17th century|Austrian, Freiburg 1627–1700, active Rome 1650–1680",", designer|, gilt work|, carving","Todini, Michele|Onofri, Basilio|Reiff, Jacob","Italian|Italian|Austrian, active Rome",1616      |1650      |1650      ,1690      |1700      |1700      ,||,(not assigned)||,https://www.wikidata.org/wiki/Q20005928||,ca. 1670,1665,1675,"Wood, gilt, ebony, ivory, parchment","Harpsichord: 14 3/4 in. × 9 ft. 10 in. × 38 in. (37.5 × 299.7 × 96.5 cm)
Polyphemus: 50 × 60 × 52 in. (127 × 152.4 × 132.1 cm)
Galatea: 35 × 57 × 47 in. (88.9 × 144.8 × 119.4 cm)","The Crosby Brown Collection of Musical Instruments, 1889
",,Rome,,,Italy,,,,,,,Chordophone-Zither-plucked-harpsichord,,http://www.metmuseum.org/art/collection/search/502377,https://www.wikidata.org/wiki/Q19947560,,"Metropolitan Museum of Art, New York, NY",Triton|Galatea|Nymphs|Fish, | |http://vocab.getty.edu/page/aat/300379159|http://vocab.getty.edu/page/aat/300266085,https://www.wikidata.org/wiki/Q148030|https://www.wikidata.org/wiki/Q241070|https://www.wikidata.org/wiki/Q373916|https://www.wikidata.org/wiki/Q152
56.70a–c,True,False,True,470304,019,The Cloisters,1956,Altarpiece,Annunciation Triptych (Merode Altarpiece),South Netherlandish,,,,,16174,Artist,Workshop of,Robert Campin,"Netherlandish, ca. 1375–1444 Tournai", ,"Campin, Robert",Netherlandish,1375      ,1444      ,,http://vocab.getty.edu/page/ulan/500021163,https://www.wikidata.org/wiki/Q80442,ca. 1427–32,1427,1432,Oil on oak,"Overall (open): 25 3/8 x 46 3/8 in. (64.5 x 117.8 cm)
Central panel: 25 1/4 x 24 7/8 in. (64.1 x 63.2 cm)
each wing: 25 3/8 x 10 3/4 in. (64.5 x 27.3 cm)","The Cloisters Collection, 1956",Made in,Tournai,,,South Netherlands,,,,,,,Paintings-Panels,,http://www.metmuseum.org/art/collection/search/470304,https://www.wikidata.org/wiki/Q285392,,"Metropolitan Museum of Art, New York, NY",Virgin Mary|Interiors|Saint Joseph|Archangel Gabriel|Annunciation|Men|Women|Reading,http://vocab.getty.edu/page/ia/901000032|http://vocab.getty.edu/page/aat/300391239|http://vocab.getty.edu/page/ia/901000953|http://vocab.getty.edu/page/ia/901000493|http://vocab.getty.edu/page/aat/300412102|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300248178,https://www.wikidata.org/wiki/Q345|https://www.wikidata.org/wiki/Q2998430|https://www.wikidata.org/wiki/Q128267|https://www.wikidata.org/wiki/Q81989|https://www.wikidata.org/wiki/Q154326|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q199657
25.120.288,True,True,True,470600,008,The Cloisters,1925,Painting,The Adoration of the Shepherds,Italian,,,,,16165,Artist, ,Bartolo di Fredi,"Italian, active by 1353–died 1410 Siena", ,Bartolo di Fredi,Italian,1353      ,1410      ,,http://vocab.getty.edu/page/ulan/500031914,https://www.wikidata.org/wiki/Q177415,1374,1374,1374,"Tempera on poplar, gilding","Overall: 69 1/8 x 45 1/8 in. (175.6 x 114.6 cm)
Painted surface: 63 1/4 x 45 1/8 in. (160.7 x 114.6 cm)","The Cloisters Collection, 1925",Made in,Siena,,,Italy,,,,,,,Paintings-Panels,,http://www.metmuseum.org/art/collection/search/470600,https://www.wikidata.org/wiki/Q20200879,,"Metropolitan Museum of Art, New York, NY",Virgin Mary|Cows|Saint Joseph|Jesus|Angels|Adoration of the Shepherds,http://vocab.getty.edu/page/ia/901000032|http://vocab.getty.edu/page/aat/300250120|http://vocab.getty.edu/page/ia/901000953|http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/aat/300379004|http://vocab.getty.edu/page/ia/901000229,https://www.wikidata.org/wiki/Q345|https://www.wikidata.org/wiki/Q830|https://www.wikidata.org/wiki/Q128267|https://www.wikidata.org/wiki/Q302|https://www.wikidata.org/wiki/Q235113|https://www.wikidata.org/wiki/Q1029715
61.200.1,True,True,True,471904,014,The Cloisters,1961,Painting,The Crucifixion,Italian,,,,,16211,Artist, ,Master of the Codex of Saint George,"Italian, active Florence, ca. 1315–35", ,Master of the Codex of Saint George,Italian,1310      ,1335      ,,http://vocab.getty.edu/page/ulan/500026195,https://www.wikidata.org/wiki/Q1918541,ca. 1330–35,1330,1335,"Tempera on wood, gold ground","Overall: 18 x 11 3/4 in. (45.7 x 29.8 cm)
Painted surface: 15 5/8 x 10 5/8 in. (39.7 x 27 cm)","The Cloisters Collection, 1961",Made in,Avignon,,,France,,,,,,,Paintings-Panels,,http://www.metmuseum.org/art/collection/search/471904,https://www.wikidata.org/wiki/Q20200877,,"Metropolitan Museum of Art, New York, NY",Christ|Virgin Mary|Skulls|Crucifixion|Soldiers,http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/ia/901000032|http://vocab.getty.edu/page/aat/300191856|http://vocab.getty.edu/page/aat/300404300|http://vocab.getty.edu/page/aat/300185678,https://www.wikidata.org/wiki/Q642420|https://www.wikidata.org/wiki/Q345|https://www.wikidata.org/wiki/Q13147|https://www.wikidata.org/wiki/Q3235597|https://www.wikidata.org/wiki/Q4991371
1988.159,True,True,True,469913,020,The Cloisters,1988,Statue,Saint Anthony Abbot,German,,,,,13884,Artist,Attributed to,Nikolaus von Hagenau,"German, ca. 1445–died before 1538", ,"von Hagenau, Nikolaus",German,1445      ,1538      ,,http://vocab.getty.edu/page/ulan/500053757,https://www.wikidata.org/wiki/Q1990496,ca. 1500,1500,1500,Walnut,"44 1/4 × 17 1/4 × 10 3/4 in., 66 lb. (112.4 × 43.8 × 27.3 cm, 29.9 kg)","The Cloisters Collection, 1988",Made in,Strasbourg,,Alsace,present-day France,,,,,,,Sculpture-Wood,,http://www.metmuseum.org/art/collection/search/469913,https://www.wikidata.org/wiki/Q29385488,,"Metropolitan Museum of Art, New York, NY",Men|Demons|Saints,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300379730|http://vocab.getty.edu/page/aat/300150555,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q177413|https://www.wikidata.org/wiki/Q43115
1999.26,True,True,True,503517,684,Musical Instruments,1999,Violin,"ex ""Kurtz"" Violin",Italian (Cremona),,,,,15564,Maker, ,Andrea Amati,"Italian, Cremona ca. 1505–1578 Cremona", ,"Amati, Andrea",Italian,1505      ,1578      ,,http://vocab.getty.edu/page/ulan/500524209,https://www.wikidata.org/wiki/Q493320,ca. 1560,1558,1565,"Spruce, maple, ebony, paint, gilding","Height: 22 5/8 in. (57.4 cm)
Width: 7 15/16 in. (20.2 cm)","Purchase, Robert Alonzo Lehman Bequest, 1999",|,Cremona,|,,Italy,,,,,,,Chordophone-Lute-plucked,,http://www.metmuseum.org/art/collection/search/503517,https://www.wikidata.org/wiki/Q29385629,,"Metropolitan Museum of Art, New York, NY",,,
